Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
1227,66758266,렌탈,프로모션계약,영업방판,2019-02-07,60,CMS,DES-1,96900, 개인,53,경기도,경기도,계약확정,0,없음,여자,1,국민은행
1228,66759528,렌탈,일반계약,영업방판,2019-01-03,60,카드이체,DES-1,96900, 개인,32,서울특별시,서울특별시,계약확정,0,없음,여자,3,삼성카드
1229,66719913,렌탈,프로모션계약,영업방판,2019-01-02,60,CMS,DES-2,90900, 개인,46,서울특별시,서울특별시,계약확정,0,없음,여자,6,국민은행
1230,66719913,렌탈,프로모션계약,영업방판,2019-01-15,60,CMS,DES-3A,90900, 개인,46,서울특별시,서울특별시,계약확정,0,없음,여자,6,국민은행
1231,66686628,렌탈,프로모션계약,영업방판,2019-05-13,60,카드이체,DES-1,96900, 개인,,서울특별시,서울특별시,계약확정,0,없음,여자,6,롯데카드
1232,66758827,렌탈,프로모션계약,영업방판,2019-12-30,60,카드이체,DES-1,111900, 개인,53,경기도,인천광역시,계약확정,0,없음,여자,2,롯데카드
1233,66423675,멤버십,멤버십3유형,재계약,2020-04-21,12,CMS,DES-1,66900, 개인,39,경기도,인천광역시,계약확정,0,없음,남자,4,신한은행
1234,66759235,렌탈,일반계약,홈쇼핑/방송,2020-07-24,60,CMS,DES-1,96900, 개인,61,경기도,인천광역시,계약확정,0,없음,남자,2,신한은행
1235,66759080,렌탈,프로모션계약,영업방판,2019-05-30,60,카드이체,DES-1,105900, 개인,66,경기도,인천광역시,계약확정,0,없음,여자,2,롯데카드
1236,66423521,멤버십,멤버십3유형,재계약,2019-01-03,12,CMS,DES-1,66900, 개인,67,경기도,인천광역시,계약확정,0,없음,남자,4,국민은행
1237,66759462,렌탈,패키지계약,홈쇼핑/방송,2019-03-31,60,CMS,DES-1,81900, 개인,37,경상도,부산광역시,계약확정,0,없음,남자,6,부산은행
1238,66759462,렌탈,패키지계약,홈쇼핑/방송,2019-03-31,60,CMS,DES-2,81900, 개인,37,경상도,부산광역시,계약확정,0,없음,남자,6,부산은행
1239,66757554,렌탈,프로모션계약,대형마트E,2020-01-30,60,CMS,DES-1,96900, 개인,35,경기도,경기도,계약확정,0,없음,남자,4,국민은행
1240,66759184,렌탈,프로모션계약,영업방판,2019-10-15,60,카드이체,DES-1,105900, 개인,61,서울특별시,서울특별시,계약확정,0,없음,남자,1,BC카드
1241,66192159,렌탈,교체계약,영업방판,2019-01-03,60,CMS,DES-1,102900, 개인,38,서울특별시,서울특별시,계약확정,0,없음,여자,2,우리은행
1242,25742689,렌탈,프로모션계약,대형마트E,2019-06-09,60,CMS,DES-1,127200, 사업자,,서울특별시,서울특별시,계약확정,0,없음,여자,,신한은행
1243,25694182,렌탈,프로모션계약,영업방판,2019-01-07,60,CMS,DES-3A,90900, 사업자,,서울특별시,서울특별시,계약확정,0,없음,여자,,우리은행
1244,66758957,렌탈,프로모션계약,영업방판,2019-01-07,60,CMS,DES-2,90900, 개인,63,경상도,경상도,계약확정,0,없음,여자,4,농협회원조합
1245,66421698,멤버십,멤버십3유형,재계약,2019-08-18,12,카드이체,DES-1,66900, 개인,39,경기도,경기도,계약확정,0,없음,여자,1,외환카드
1246,66759506,렌탈,패키지계약,홈쇼핑/방송,2019-09-16,60,카드이체,DES-1,81900, 개인,40,경기도,경기도,계약확정,0,없음,여자,6,롯데카드
1247,66759506,렌탈,패키지계약,홈쇼핑/방송,2019-01-25,60,카드이체,DES-2,81900, 개인,40,경기도,경기도,계약확정,0,없음,여자,6,롯데카드
1248,66516482,렌탈,프로모션계약,영업방판,2019-02-13,60,CMS,DES-2,90900, 개인,39,경기도,경기도,계약확정,0,없음,남자,3,우리은행
1249,66758425,렌탈,프로모션계약,영업방판,2019-05-27,60,CMS,DES-1,111900, 개인,54,서울특별시,서울특별시,계약확정,0,없음,여자,1,하나은행
1250,66758752,렌탈,프로모션계약,전문매장H,2019-05-27,60,CMS,DES-1,105900, 개인,32,경기도,경기도,계약확정,0,없음,남자,4,국민은행
1251,66425205,렌탈,교체계약,영업방판,2019-06-21,60,CMS,DES-1,102900, 개인,45,경기도,경기도,계약확정,0,없음,남자,4,기업은행
1252,66164608,렌탈,교체계약,영업방판,2019-10-11,60,CMS,DES-1,102900, 개인,70,경기도,경기도,계약확정,0,없음,여자,4,국민은행
1253,66759233,렌탈,프로모션계약,영업방판,2020-01-01,60,CMS,DES-3A,90900, 개인,57,경기도,경기도,계약확정,0,없음,여자,1,BC카드
1254,66759259,렌탈,일반계약,영업방판,2020-01-25,60,CMS,DES-1,115200, 개인,36,경기도,경기도,계약확정,0,없음,여자,3,우리은행
1255,66759435,렌탈,일반계약,홈쇼핑/방송,2020-01-27,60,카드이체,DES-1,96900, 개인,66,경기도,경기도,계약확정,0,없음,남자,2,롯데카드
1256,66469803,렌탈,프로모션계약,영업방판,2020-07-27,60,CMS,DES-3A,90900, 개인,47,경기도,경기도,계약확정,0,없음,여자,4,롯데카드
1257,66759254,렌탈,일반계약,영업방판,2019-08-05,60,CMS,DES-1,96900, 개인,47,경기도,경기도,계약확정,0,없음,여자,3,신한은행
1258,66272921,렌탈,교체계약,영업방판,2019-09-04,60,CMS,DES-1,96900, 개인,42,경기도,경기도,계약확정,1,있음,여자,,신한은행
1259,66354393,렌탈,패키지계약,홈쇼핑/방송,2019-03-07,60,카드이체,DES-1,81900, 개인,39,경기도,경기도,계약확정,0,없음,여자,1,신한카드
