결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일
카드,D-20180510-0000111-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,30840,215,1,모바일웹,20180510
무통장입금,D-20180510-0000122-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,54930,1040,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-01,2018-05-10 오후 6:23,2018-05-14 오전 5:32,109870,1037,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-02,2018-05-10 오후 6:23,2018-05-14 오전 5:32,73910,1071,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-03,2018-05-10 오후 6:23,2018-05-14 오전 5:32,82600,1058,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-04,2018-05-10 오후 6:23,2018-05-14 오전 5:32,102500,1059,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-05,2018-05-10 오후 6:23,2018-05-14 오전 5:32,63240,1091,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-06,2018-05-10 오후 6:23,2018-05-14 오전 5:32,83360,1035,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-07,2018-05-10 오후 6:23,2018-05-14 오전 5:32,92380,1036,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000122-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,0,587,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000156-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,61970,455,1,모바일웹,20180510
무통장입금,D-20180510-0000162-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,108000,1055,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000162-01,2018-05-10 오후 6:23,2018-05-14 오전 5:32,92380,1036,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000162-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,0,582,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000175-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,78800,602,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000175-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,0,1136,1,PC쇼핑몰,20180510
카드,D-20180510-0000201-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,89800,478,1,모바일웹,20180510
카드,D-20180510-0000236-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,165200,1106,2,PC쇼핑몰,20180510
카드,D-20180510-0000236-01,2018-05-10 오후 6:23,2018-05-14 오전 5:32,184760,1036,2,PC쇼핑몰,20180510
카드,D-20180510-0000236-02,2018-05-10 오후 6:23,2018-05-14 오전 5:32,219740,1037,2,PC쇼핑몰,20180510
카드,D-20180510-0000236-03,2018-05-10 오후 6:23,2018-05-14 오전 5:32,166720,1035,2,PC쇼핑몰,20180510
무통장입금,D-20180510-0000244-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,77370,608,1,모바일웹,20180510
무통장입금,D-20180510-0000244-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,0,1136,1,모바일웹,20180510
카드,D-20180510-0000236-00,2018-05-10 오후 6:23,2018-05-14 오전 5:32,0,587,1,PC쇼핑몰,20180510
무통장입금,D-20180510-0000262-00,2018-05-11 오후 7:02,2018-05-15 오전 5:32,70500,42,1,모바일웹,20180510
무통장입금,D-20180510-0000262-00,2018-05-11 오후 7:02,2018-05-15 오전 5:32,0,587,1,모바일웹,20180510
카드,D-20180510-0000271-01,2018-05-11 오후 7:04,2018-05-21 오전 1:03,75390,961,1,네이버 페이,20180510
카드,D-20180510-0000283-01,2018-05-11 오후 7:04,2018-05-14 오후 6:18,71490,44,1,네이버 페이,20180510
